i,description_code
agr,Farms (111CA)
fof,"Forestry, fishing, and related activities (113FF)"
oil,Oil and gas extraction (211)
min,"Mining, except oil and gas (212)"
smn,Support activities for mining (213)
uti,Utilities (22)
con,Construction (23)
wpd,Wood products (321)
nmp,Nonmetallic mineral products (327)
pmt,Primary metals (331)
fmt,Fabricated metal products (332)
mch,Machinery (333)
cep,Computer and electronic products (334)
eec,"Electrical equipment, appliances, and components (335)"
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)"
ote,Other transportation equipment (3364OT)
fpd,Furniture and related products (337)
mmf,Miscellaneous manufacturing (339)
fbp,Food and beverage and tobacco products (311FT)
tex,Textile mills and textile product mills (313TT)
alt,Apparel and leather and allied products (315AL)
ppd,Paper products (322)
pri,Printing and related support activities (323)
pet,Petroleum and coal products (324)
che,Chemical products (325)
pla,Plastics and rubber products (326)
wht,Wholesale trade (42)
mvt,Motor vehicle and parts dealers (441)
fbt,Food and beverage stores (445)
gmt,General merchandise stores (452)
ott,Other retail (4A0)
air,Air transportation (481)
trn,Rail transportation (482)
wtt,Water transportation (483)
trk,Truck transportation (484)
grd,Transit and ground passenger transportation (485)
pip,Pipeline transportation (486)
otr,Other transportation and support activities (487OS)
wrh,Warehousing and storage (493)
pub,"Publishing industries, except internet (includes software) (511)"
mov,Motion picture and sound recording industries (512)
brd,Broadcasting and telecommunications (513)
dat,"Data processing, internet publishing, and other information services (514)"
bnk,"Federal Reserve banks, credit intermediation, and related activities (521CI)"
sec,"Securities, commodity contracts, and investments (523)"
ins,Insurance carriers and related activities (524)
fin,"Funds, trusts, and other financial vehicles (525)"
hou,Housing (HS)
ore,Other real estate (ORE)
rnt,Rental and leasing services and lessors of intangible assets (532RL)
leg,Legal services (5411)
com,Computer systems design and related services (5415)
tsv,"Miscellaneous professional, scientific, and technical services (5412OP)"
man,Management of companies and enterprises (55)
adm,Administrative and support services (561)
wst,Waste management and remediation services (562)
edu,Educational services (61)
amb,Ambulatory health care services (621)
hos,Hospitals (622)
nrs,Nursing and residential care facilities (623)
soc,Social assistance (624)
art,"Performing arts, spectator sports, museums, and related activities (711AS)"
rec,"Amusements, gambling, and recreation industries (713)"
amd,Accommodation (721)
res,Food services and drinking places (722)
osv,"Other services, except government (81)"
fdd,Federal general government (defense) (GFGD)
fnd,Federal general government (nondefense) (GFGN)
fen,Federal government enterprises (GFE)
slg,State and local general government (GSLG)
sle,State and local government enterprises (GSLE)
oth,Noncomparable imports and rest-of-the-world adjustment (Other)
use,"Scrap, used and secondhand goods (Used)"
