uni_0,uni_1,value
2008,us dollars (USD) per barrel,94.74
2009,us dollars (USD) per barrel,59.29
2005,us dollars (USD) per barrel,50.24
2006,us dollars (USD) per barrel,60.24
2012,us dollars (USD) per barrel,100.93
2014,us dollars (USD) per barrel,92.02
2013,us dollars (USD) per barrel,100.49
1999,us dollars (USD) per barrel,17.51
2002,us dollars (USD) per barrel,24.1
2017,us dollars (USD) per barrel,50.68
2016,us dollars (USD) per barrel,40.66
2015,us dollars (USD) per barrel,48.39
1998,us dollars (USD) per barrel,12.52
2004,us dollars (USD) per barrel,36.98
2000,us dollars (USD) per barrel,28.26
1997,us dollars (USD) per barrel,19.04
2007,us dollars (USD) per barrel,67.94
2010,us dollars (USD) per barrel,76.69
2003,us dollars (USD) per barrel,28.53
2011,us dollars (USD) per barrel,101.87
2001,us dollars (USD) per barrel,22.95
