agr,01,"""Farms"","
agr,02,"""Farms"","
agr,03,"""Farms"","
agr,04,"""Farms"","
agr,05,"""Farms"","
fof,25,"""Forestry, fishing, and related activities"","
fof,01,"""Forestry, fishing, and related activities"","
oil,17,"""Oil and gas extraction"","
oil,18,"""Oil and gas extraction"","
min,10,"""Mining, except oil and gas"","
min,11,"""Mining, except oil and gas"","
min,12,"""Mining, except oil and gas"","
min,13,"""Mining, except oil and gas"","
min,14,"""Mining, except oil and gas"","
wpd,26,"""Wood products"","
nmp,31,"""Nonmetallic mineral products"","
pmt,32,"""Primary metals"","
fmt,33,"""Fabricated metal products"","
mch,34,"""Machinery"","
cep,35,"""Computer and electronic products"","
eec,35,"""Electrical equipment, appliances, and components"","
mot,36,"""Motor vehicles, bodies and trailers, and parts manufacturing"","
ote,37,"""Other transportation equipment"","
fpd,39,"""Furniture and related products"","
mmf,38,"""Miscellaneous manufacturing"","
mmf,40,"""Miscellaneous manufacturing"","
fbp,04,"""Food and beverage and tobacco products"","
fbp,05,"""Food and beverage and tobacco products"","
fbp,06,"""Food and beverage and tobacco products"","
fbp,07,"""Food and beverage and tobacco products"","
fbp,08,"""Food and beverage and tobacco products"","
fbp,09,"""Food and beverage and tobacco products"","
tex,30,"""Textile mills and textile product mills"","
alt,30,"""Apparel and leather and allied products"","
ppd,27,"""Paper products"","
ppd,28,"""Paper products"","
pri,29,"""Printing and related support activities"","
pet,19,"""Petroleum and coal products"","
che,20,"""Chemical products"","
che,21,"""Chemical products"","
che,22,"""Chemical products"","
che,23,"""Chemical products"","
pla,24,"""Plastics and rubber products"","
use,41,"""Scrap, used and secondhand goods"""
