foo,agr,"""Farms"","
rec,fof,"""Forestry, fishing, and related activities"","
enr,oil,"""Oil and gas extraction"","
enr,min,"""Coal mining"","
ong,smn,"""Support activities for mining"","
utl,uti,"""Electric power generation, transmission, and distribution"","
odg,con,"""Construction"","
foo,fbp,"""Food and beverage and tobacco products"","
clo,tex,"""Textile mills and textile product mills"","
clo,alt,"""Apparel and leather and allied products"","
hdr,wpd,"""Wood products"","
odg,ppd,"""Paper products"","
odg,pri,"""Printing and related support activities"","
odg,pet,"""Petroleum refineries"","
odg,che,"""Chemical products"","
odg,pla,"""Plastics and rubber products"","
odg,nmp,"""Nonmetallic mineral products"","
odg,pmt,"""Primary metals"","
odg,fmt,"""Fabricated metal products"","
odg,mch,"""Machinery"","
rec,cep,"""Computer and electronic products"","
rec,eec,"""Electrical equipment, appliances, and components"","
mvp,mot,"""Motor vehicles, bodies and trailers, and parts manufacturing"","
mvp,ote,"""Other transportation equipment"","
hdr,fpd,"""Furniture and related products"","
odg,mmf,"""Miscellaneous manufacturing"","
odg,wht,"""Wholesale trade"","
mvp,mvt,"""Motor vehicle and parts dealers"","
foo,fbt,"""Food and beverage stores"","
ong,gmt,"""General merchandise stores"","
ong,ott,"""Other retail"","
trn,air,"""Air transportation"","
trn,trn,"""Rail transportation"","
trn,wtt,"""Water transportation"","
trn,trk,"""Truck transportation"","
trn,grd,"""Transit and ground passenger transportation"","
trn,pip,"""Pipeline transportation"","
trn,otr,"""Other transportation and support activities"","
osr,wrh,"""Warehousing and storage"","
osr,pub,"""Publishing industries, except internet (includes software)"","
osr,mov,"""Motion picture and sound recording industries"","
osr,brd,"""Broadcasting and telecommunications"","
osr,dat,"""Data processing, internet publishing, and other information"","
fsr,bnk,"""Federal Reserve banks, credit intermediation, and related activ"","
fsr,sec,"""Securities, commodity contracts, and investments"","
fsr,ins,"""Insurance carriers and related activities"","
fsr,fin,"""Funds, trusts, and other financial vehicles"","
utl,hou,"""Housing"","
utl,ore,"""Other real estate"","
rsr,rnt,"""Rental and leasing services and lessors of intangible assets"","
osr,leg,"""Legal services"","
osr,com,"""Computer systems design and related services"","
osr,tsv,"""Miscellaneous professional, scientific, and technical services"","
osr,man,"""Management of companies and enterprises"","
osr,adm,"""Administrative and support services"","
utl,wst,"""Waste management and remediation services"","
hce,edu,"""Educational services"","
hea,amb,"""Ambulatory health care services"","
hea,hos,"""Hospitals"","
hea,nrs,"""Nursing and residential care facilities"","
hea,soc,"""Social assistance"","
rsr,art,"""Performing arts, spectator sports, museums, and related activit"","
rsr,rec,"""Amusements, gambling, and recreation industries"","
rsr,amd,"""Accommodation"","
htl,res,"""Food services and drinking places"","
osr,osv,"""Other services, except government"","
npi,fdd,"""Federal general government (defense)"","
npi,fnd,"""Federal general government (nondefense)"","
npi,fen,"""Federal government enterprises"","
npi,slg,"""State and local general government"","
npi,sle,"""State and local government enterprises"","
npi,use,"""Scrap, used and secondhand goods"","
npi,oth,"""Noncomparable imports and rest-of-the-world adjustment"""
